group,Country,case_in_country,case_total,control_in_country,control_total,odds_ratio,fisher_pvalue,fdr_bh
FullHap8,India,3,25,106,684,0.7435677530017153,0.7838257465467016,1.0
FullHap8,Algeria,0,25,5,684,0.0,1.0,1.0
FullHap8,Brazil,0,25,1,684,0.0,1.0,1.0
FullHap8,Bulgaria,0,25,13,684,0.0,1.0,1.0
FullHap8,Burma,0,25,4,684,0.0,1.0,1.0
FullHap8,Canary Islands,0,25,12,684,0.0,1.0,1.0
FullHap8,Cyprus,0,25,2,684,0.0,1.0,1.0
FullHap8,Egypt,0,25,4,684,0.0,1.0,1.0
FullHap8,Ethiopia,0,25,1,684,0.0,1.0,1.0
FullHap8,Finland,0,25,1,684,0.0,1.0,1.0
FullHap8,France,0,25,16,684,0.0,1.0,1.0
FullHap8,Greece,0,25,19,684,0.0,1.0,1.0
FullHap8,Hungary,0,25,4,684,0.0,1.0,1.0
FullHap8,Iran,1,25,47,684,0.5647163120567376,1.0,1.0
FullHap8,Iraq,0,25,6,684,0.0,1.0,1.0
FullHap8,Morocco,0,25,17,684,0.0,1.0,1.0
FullHap8,Palestine,0,25,2,684,0.0,1.0,1.0
FullHap8,Poland,0,25,20,684,0.0,1.0,1.0
FullHap8,Romania,0,25,6,684,0.0,1.0,1.0
FullHap8,Tunisia,0,25,14,684,0.0,1.0,1.0
FullHap8,Turkey,0,25,14,684,0.0,1.0,1.0
FullHap8,United Kingdom,0,25,2,684,0.0,1.0,1.0
FullHap8,Unknown,0,25,21,684,0.0,1.0,1.0
