SampleID,Hap_Name,Haplotype_Seq
Z23C6_283,Hap1,
Z23C6_284,Hap1,
Z23C6_285,Hap1,
Z23C6_286,Hap1,
Z23C6_287,Hap1,
Z23C6_288,Hap1,
Z23C6_289,Hap1,
Z23C6_290,Hap1,
Z23C6_291,Hap1,
Z23C6_292,Hap1,
Z23C6_293,Hap1,
Z23C6_295,Hap1,
Z23C6_296,Hap1,
Z23C6_297,Hap1,
Z23C6_298,Hap1,
Z23C6_299,Hap1,
Z23C6_300,Hap1,
Z23C6_301,Hap1,
Z23C6_302,Hap1,
Z23C6_303,Hap1,
Z23C6_304,Hap1,
Z23C6_305,Hap1,
Z23C6_306,Hap1,
Z23C6_307,Hap1,
Z23C6_308,Hap1,
Z23C6_309,Hap1,
Z23C6_310,Hap1,
Z23C6_311,Hap1,
Z23C6_312,Hap1,
Z23C6_313,Hap1,
Z23C6_314,Hap1,
Z23C6_315,Hap1,
Z23C6_316,Hap1,
Z23C6_317,Hap1,
Z23C6_320,Hap1,
Z23C6_322,Hap1,
Z23C6_323,Hap1,
Z23C6_325,Hap1,
Z23C6_327,Hap1,
Z23C6_328,Hap1,
Z23C6_330,Hap1,
Z23C6_332,Hap1,
Z23C6_333,Hap1,
Z23C6_334,Hap1,
Z23C6_335,Hap1,
Z23C6_336,Hap1,
Z23C6_337,Hap1,
Z23C6_338,Hap1,
Z23C6_339,Hap1,
Z23C6_340,Hap1,
Z23C6_341,Hap1,
Z23C6_342,Hap1,
Z23C6_343,Hap1,
Z23C6_344,Hap1,
Z23C6_345,Hap1,
Z23C6_346,Hap1,
Z23C6_347,Hap1,
Z23C6_348,Hap1,
Z23C6_349,Hap1,
Z23C6_350,Hap1,
Z23C6_351,Hap1,
Z23C6_352,Hap1,
Z23C6_353,Hap1,
Z23C6_354,Hap1,
Z23C6_355,Hap1,
Z23C6_356,Hap1,
Z23C6_357,Hap1,
Z23C6_358,Hap1,
Z23C6_359,Hap1,
Z23C6_360,Hap1,
Z23C6_361,Hap1,
Z23C6_364,Hap1,
Z23C6_365,Hap1,
Z23C6_366,Hap1,
Z23C6_367,Hap1,
Z23C6_369,Hap1,
Z23C6_370,Hap1,
Z23C6_372,Hap1,
Z23C6_373,Hap1,
Z23C6_374,Hap1,
Z23C6_375,Hap1,
Z23C6_376,Hap1,
Z23C6_377,Hap1,
Z23C6_378,Hap1,
Z23C6_382,Hap1,
Z23C6_387,Hap1,
Z23C6_388,Hap1,
Z23C6_392,Hap1,
Z23C6_394,Hap1,
Z23C6_398,Hap1,
Z23C6_401,Hap1,
Z23C6_403,Hap1,
Z23C6_405,Hap1,
Z23C6_406,Hap1,
Z23C6_408,Hap1,
Z23C6_409,Hap1,
Z23C6_410,Hap1,
Z23C6_411,Hap1,
Z23C6_412,Hap1,
Z23C6_414,Hap1,
Z23C6_417,Hap1,
Z23C6_418,Hap1,
Z23C6_419,Hap1,
Z23C6_422,Hap1,
Z23C6_424,Hap1,
Z23C6_425,Hap1,
Z23C6_429,Hap1,
Z23C6_432,Hap1,
Z23C6_433,Hap1,
Z23C6_435,Hap1,
Z23C6_436,Hap1,
Z23C6_437,Hap1,
Z23C6_438,Hap1,
Z23C6_439,Hap1,
Z23C6_440,Hap1,
Z23C6_441,Hap1,
Z23C6_442,Hap1,
Z23C6_443,Hap1,
Z23C6_444,Hap1,
Z23C6_445,Hap1,
Z23C6_446,Hap1,
Z23C6_447,Hap1,
Z23C6_448,Hap1,
Z23C6_449,Hap1,
Z23C6_450,Hap1,
Z23C6_451,Hap1,
Z23C6_452,Hap1,
Z23C6_453,Hap1,
Z23C6_454,Hap1,
Z23C6_455,Hap1,
Z23C6_456,Hap1,
Z23C6_457,Hap1,
Z23C6_458,Hap1,
Z23C6_459,Hap1,
Z23C6_460,Hap1,
Z23C6_461,Hap1,
Z23C6_462,Hap1,
Z23C6_463,Hap1,
Z23C6_464,Hap1,
Z23C6_465,Hap1,
Z23C6_466,Hap1,
Z23C6_467,Hap1,
Z23C6_468,Hap1,
Z23C6_469,Hap1,
Z23C6_470,Hap1,
Z23C6_471,Hap1,
Z23C6_472,Hap1,
Z23C6_473,Hap1,
Z23C6_474,Hap1,
Z23C6_475,Hap1,
Z23C6_476,Hap1,
Z23C6_482,Hap1,
Z23C6_483,Hap1,
Z23C6_484,Hap1,
Z23C6_486,Hap1,
Z23C6_487,Hap1,
Z23C6_488,Hap1,
Z23C6_489,Hap1,
Z23C6_490,Hap1,
Z23C6_492,Hap1,
Z23C6_493,Hap1,
Z23C6_494,Hap1,
Z23C6_499,Hap1,
Z23C6_500,Hap1,
Z23C6_501,Hap1,
Z23C6_502,Hap1,
Z23C6_503,Hap1,
Z23C6_504,Hap1,
Z23C6_505,Hap1,
Z23C6_506,Hap1,
Z23C6_507,Hap1,
Z23C6_510,Hap1,
Z23C6_511,Hap1,
Z23C6_512,Hap1,
Z23C6_513,Hap1,
Z23C6_514,Hap1,
Z23C6_515,Hap1,
Z23C6_518,Hap1,
Z23C6_520,Hap1,
