SampleID,Hap_Name,Haplotype_Seq,Phenotype_1,WT_TPM,SA_TPM
M219A,Hap1,,54.40033445,0.0,0.0
M21A,Hap1,,60.68262725,0.0,0.0
M220A,Hap1,,51.7589365,0.0,0.0
M221A,Hap1,,65.00140525,0.0,0.0
M222A,Hap1,,58.8408391,0.0,0.0
M223A,Hap1,,63.9535332,0.0,0.0
M224A,Hap1,,60.91445575,0.0,0.0
M225A,Hap1,,54.0932748,0.0,0.0
M226A,Hap1,,62.5861496,0.0,0.0
M227A,Hap1,,61.02843905,0.0,0.0
M228A,Hap1,,62.93965355,0.0,0.0
M229A,Hap1,,68.8469088,0.0,0.0
M22A,Hap1,,55.10357005,0.0,0.0
M230A,Hap1,,67.5562037,0.0,0.0
M231A,Hap1,,71.1904056,0.0,0.0
M232A,Hap1,,71.25062955,0.0,0.0
M233A,Hap1,,48.24758125,0.0,0.0
M234A,Hap1,,68.36273505,0.0,0.0
M235A,Hap1,,45.43824674,0.0,0.0
M236A,Hap1,,65.26526325,0.0,0.0
M237A,Hap1,,64.50026995,0.0,0.0
M238A,Hap1,,58.81862315,0.0,0.0
M239A,Hap1,,51.0862797,0.0,0.0
M23A,Hap1,,55.6748793,0.0,0.0
M240A,Hap1,,54.4428493,0.0,0.0
M241A,Hap1,,57.01635275,0.0,0.0
M242A,Hap1,,51.29785315,0.0,0.0
M243A,Hap1,,54.58631675,0.0,0.0
M244A,Hap1,,54.0538868,0.0,0.0
M245A,Hap1,,64.5607498,0.0,0.0
M246A,Hap1,,45.4834038,0.0,0.0
M247A,Hap1,,52.99181455,0.0,0.0
M248A,Hap1,,47.64782155,0.0,0.0
M249A,Hap1,,47.90520749,0.0,0.0
M24A,Hap1,,46.64367049,0.0,0.0
M250A,Hap1,,44.58510845,0.0,0.0
M251A,Hap1,,50.6889524,0.0,0.0
M252A,Hap1,,44.09029227,0.0,0.0
M253A,Hap1,,44.71263315,0.0,0.0
M254A,Hap1,,53.15290155,0.0,0.0
M255A,Hap1,,50.03467945,0.0,0.0
M256A,Hap1,,51.4416503,0.0,0.0
M257A,Hap1,,53.30069185,0.0,0.0
M258A,Hap1,,54.2766657,0.0,0.0
M259A,Hap1,,53.9120113,0.0,0.0
M25A,Hap1,,68.08584525,0.0,0.0
M260A,Hap1,,56.5217743,0.0,0.0
M261A,Hap1,,56.4786702,0.0,0.0
M262A,Hap1,,53.0357048,0.0,0.0
M263A,Hap1,,50.8371069,0.0,0.0
M264A,Hap1,,57.57994005,0.0,0.0
M265A,Hap1,,51.2280408,0.0,0.0
M266A,Hap1,,53.5671685,0.0,0.0
M267A,Hap1,,55.3280877,0.0,0.0
M268A,Hap1,,45.24331797,0.0,0.0
M269A,Hap1,,55.8312336,0.0,0.0
M26A,Hap1,,49.94184254,0.0,0.0
M270A,Hap1,,49.43114589,0.0,0.0
M271A,Hap1,,51.3122614,0.0,0.0
M272A,Hap1,,51.15443065,0.0,0.0
M273A,Hap1,,57.66354755,0.0,0.0
M274A,Hap1,,51.55489845,0.0,0.0
M275A,Hap1,,47.47670856,0.0,0.0
M276A,Hap1,,53.91317505,0.0,0.0
M277A,Hap1,,53.83058295,0.0,0.0
M278A,Hap1,,49.45386013,0.0,0.0
M279A,Hap1,,50.170819,0.0,0.0
M27A,Hap1,,55.397936,0.0,0.0
M280A,Hap1,,49.95915416,0.0,0.0
M281A,Hap1,,62.6011218,0.0,0.0
M282A,Hap1,,51.25321425,0.0,0.0
M283A,Hap1,,56.5343185,0.0,0.0
M284A,Hap1,,65.045502,0.0,0.0
M285A,Hap1,,63.3355398,0.0,0.0
M286A,Hap1,,74.73817215,0.0,0.0
M287A,Hap1,,67.61784345,0.0,0.0
M288A,Hap1,,56.1912643,0.0,0.0
M289A,Hap1,,66.3951173,0.0,0.0
M28A,Hap1,,55.8948946,0.0,0.0
M290A,Hap1,,58.15894725,0.0,0.0
M291A,Hap1,,66.4856114,0.0,0.0
M292A,Hap1,,58.9248032,0.0,0.0
M293A,Hap1,,69.827528,0.0,0.0
M294A,Hap1,,65.5616544,0.0,0.0
M295A,Hap1,,56.9667629,0.0,0.0
M296A,Hap1,,59.13615515,0.0,0.0
M297A,Hap1,,64.6810921,0.0,0.0
M298A,Hap1,,62.10831905,0.0,0.0
M299A,Hap1,,56.3513183,0.0,0.0
M29A,Hap1,,46.52957137,0.0,0.0
